state,latitude,longitude
Abia,5.4527,7.5248
Adamawa,9.3265,12.3984
Akwa Ibom,4.9057,7.8537
Anambra,6.2209,6.9370
Bauchi,10.3158,9.8442
Bayelsa,4.7719,6.0699
Benue,7.3369,8.7404
Borno,11.8846,13.1510
Cross River,5.9631,8.3345
Delta,5.7040,5.9339
Ebonyi,6.2649,8.0137
Edo,6.6342,5.9304
Ekiti,7.7189,5.3110
Enugu,6.4584,7.5464
FCT,9.0765,7.3986
Gombe,10.2904,11.1706
Imo,5.5720,7.0588
Jigawa,12.2280,9.5616
Kaduna,10.5105,7.4165
Kano,12.0022,8.5920
Katsina,12.9908,7.6018
Kebbi,12.4539,4.1975
Kogi,7.7337,6.6906
Kwara,8.9669,4.3874
Lagos,6.5244,3.3792
Nasarawa,8.4998,8.1997
Niger,9.9309,5.5983
Ogun,7.1604,3.3482
Ondo,7.2508,5.2103
Osun,7.5629,4.5199
Oyo,8.1574,3.6147
Plateau,9.2182,9.5179
Rivers,4.8156,6.9785
Sokoto,13.0059,5.2476
Taraba,7.9994,10.7739
Yobe,12.2939,11.4390
Zamfara,12.1222,6.2236